#reqid,ra,dec,startjd,endjd,exitcode,lightcurve
69719,222.286143832,16.4576929051,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69719/cksum6400afff0c8af8b2026c0059d456299b/forcedphotometry_req00069719_lc.txt
69720,214.837260602,36.1720830066,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69720/cksum52fa5a8bb5190c6bf68e08ca60e31074/forcedphotometry_req00069720_lc.txt
69721,188.156131738,66.4145437366,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69721/cksum00937d1036d3bc1b9975766e345c7bd8/forcedphotometry_req00069721_lc.txt
69722,173.483081137,67.0186321245,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69722/cksumf9e5dd33ac94d8515d0e4bcc2fc7a9d5/forcedphotometry_req00069722_lc.txt
69723,257.772170069,39.1468114234,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69723/cksum10ecce57aea97e3a33b5a4b19e1e8c52/forcedphotometry_req00069723_lc.txt
69724,278.207114336,53.6727622063,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69724/cksum41d9c2cf6986b6fc1535d5123336a426/forcedphotometry_req00069724_lc.txt
69725,251.384196714,59.9186128837,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69725/cksum9c2d20adf6849d5ec20a6cd9343ab637/forcedphotometry_req00069725_lc.txt
69726,257.17641617,28.5206032085,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69726/cksumf72b1ed25a7eb1216dd58532f0031f18/forcedphotometry_req00069726_lc.txt
69727,261.413149784,59.446771306,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69727/cksumbc348faa5c43e66c235a6b9d4dc36069/forcedphotometry_req00069727_lc.txt
69728,276.1079419,44.130396302,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69728/cksum5edd045b060dc0f245d03e8caa173011/forcedphotometry_req00069728_lc.txt
69729,277.682732588,42.3623158209,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69729/cksum8b4ab268f9a6bda223846b09e974c1cb/forcedphotometry_req00069729_lc.txt
69730,266.490787463,44.4379181748,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69730/cksumd08cfd2f6ab3184757af2448c76ab6e3/forcedphotometry_req00069730_lc.txt
69731,279.304342708,36.9349846241,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69731/cksum38b1935c98fbf03543f6d5da3ddb7e4b/forcedphotometry_req00069731_lc.txt
69732,214.312925734,59.2763735879,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69732/cksum0915837f9cc0f5b61e7861a97cd936be/forcedphotometry_req00069732_lc.txt
69733,235.543364522,13.1326869927,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69733/cksum66d666842a242c02e8babf3a1840b477/forcedphotometry_req00069733_lc.txt
69734,222.409532042,25.3701443948,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69734/cksumc2b3b68e68d2a933181886100f0384ce/forcedphotometry_req00069734_lc.txt
69735,173.616141021,46.3626126194,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69735/cksum61b477e358a25fc273625445f689567c/forcedphotometry_req00069735_lc.txt
69736,236.566615044,29.0946079369,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69736/cksum84c617beff909bd503dd23ef77f13239/forcedphotometry_req00069736_lc.txt
69737,190.399688359,35.5769839304,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69737/cksum77b5a29926b33a2b4579679810180b26/forcedphotometry_req00069737_lc.txt
69738,261.437214384,45.507817349,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69738/cksum3d9370919653659ced34eb2f2eaced7b/forcedphotometry_req00069738_lc.txt
69739,129.927584113,41.0153669008,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69739/cksum45e7a26dde1f1a2b36e035295759466c/forcedphotometry_req00069739_lc.txt
69740,289.894636822,44.033955464,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69740/cksumbe8a693fe6a2cad61f274921636ee1bf/forcedphotometry_req00069740_lc.txt
69741,217.129003583,37.0678388995,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69741/cksumc4474c6661da915fe23625c3c9bd09c5/forcedphotometry_req00069741_lc.txt
69742,173.260541824,62.7439691815,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69742/cksumdf08aec31b8dd367bc9d176f020a315c/forcedphotometry_req00069742_lc.txt
69743,238.579985028,39.4539510627,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69743/cksume392264ff5e72a19a29e10e5ba49130e/forcedphotometry_req00069743_lc.txt
69744,278.560869557,32.9193188084,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69744/cksum15e6fe0a55fa4901cea01f798e1ae315/forcedphotometry_req00069744_lc.txt
69745,224.369246543,5.84230331141,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69745/cksum02270e18ff5aaf12c0911ece8bda8d9d/forcedphotometry_req00069745_lc.txt
69746,233.887923269,12.5679973648,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69746/cksumae9c723feb1de35f53cf148703cf6902/forcedphotometry_req00069746_lc.txt
69747,239.671014087,21.1204957769,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69747/cksum50bd33084977f2decc51327f6a64e2b3/forcedphotometry_req00069747_lc.txt
69748,198.979846862,21.4226511169,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69748/cksum9d69fda19cc8ab6f637d65a0e485b052/forcedphotometry_req00069748_lc.txt
69749,151.19842225,14.7793243343,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69749/cksum299c32351cb49796b7321952f11cf4bd/forcedphotometry_req00069749_lc.txt
69750,186.359341654,11.7667560185,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69750/cksumec8a20d4595367bc1cf8e543454c68e3/forcedphotometry_req00069750_lc.txt
69751,177.568737242,51.4534301053,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69751/cksumb77ac5318e8d2922b6215f6fe5b470f5/forcedphotometry_req00069751_lc.txt
69752,215.64940127,74.8395414211,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69752/cksum2adf5055f38ec16b7710249b187737b4/forcedphotometry_req00069752_lc.txt
69753,248.928147101,4.82593208639,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69753/cksum25677ba9d8197c34fcae3f236019ba41/forcedphotometry_req00069753_lc.txt
69754,165.626196931,55.5988453989,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69754/cksum1ac41393cf2e4928336eda5c813ee45f/forcedphotometry_req00069754_lc.txt
69755,167.679249799,40.7897398696,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69755/cksuma7bcfa879f28979f857513c53af7a814/forcedphotometry_req00069755_lc.txt
69756,204.696953459,30.9595913578,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69756/cksum69da47fd17d93e7b9cf4b196717062f3/forcedphotometry_req00069756_lc.txt
69757,194.344274484,26.8148427667,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69757/cksum3258a8871851b6f177b16f7036112c80/forcedphotometry_req00069757_lc.txt
69758,194.569506563,27.7292510371,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69758/cksum8f4de0ce25c0eb7ea5e957d86b54a39f/forcedphotometry_req00069758_lc.txt
69759,268.750239552,42.8983344043,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69759/cksum9b9ea122748cb5f483da7f23d17c2442/forcedphotometry_req00069759_lc.txt
69760,185.006864566,56.1588697603,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69760/cksum430e5f1d118da2847b95556dcb6be329/forcedphotometry_req00069760_lc.txt
69761,247.046388123,39.8201133627,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69761/cksumcf6399b24e27451ef5bf2afb410de667/forcedphotometry_req00069761_lc.txt
69762,206.735219632,43.1372932817,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69762/cksum9a4e9e1fdacd19a73d976b9780b58795/forcedphotometry_req00069762_lc.txt
69763,215.449354363,48.166606,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69763/cksum4f7dfe2f7eb9d75ad85ae2fbd8081dde/forcedphotometry_req00069763_lc.txt
69764,170.812111597,61.6288915662,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69764/cksumf7d4e7e9f54ab54cf6653e238311e7f9/forcedphotometry_req00069764_lc.txt
