ZTF-name,RA,DEC
ZTF18abbpeqo,238.22689635,50.6193991684
ZTF18abbodly,331.405588414,44.8376929331
ZTF18aazndjw,347.546491216,51.253080078
ZTF18abadjhx,315.20524683900004,9.52451447041
ZTF18aazrdpr,295.027448821,60.4831788769
ZTF18abafxmt,203.51444961,61.7279410697
ZTF18abaelhi,207.199235816,6.355220360730001
ZTF18aayiahw,209.80834885599998,28.5407583106
ZTF18abcecfi,230.351390786,69.6062493278
ZTF18aaxcfbt,164.612910575,51.695823242299994
ZTF18abbvsiv,261.13344422,70.3724439603
ZTF18abcfdzu,230.217152435,54.215550063900004
ZTF18abcezmh,269.451877097,40.0763902748
ZTF18abakjgq,328.07901586599996,44.2440366414
ZTF18abbpyvk,209.420468243,17.5080896329
ZTF18abcicrq,205.28317752200002,28.886478092199997
ZTF18aawwzrq,161.59580780000002,18.673846899999997
ZTF18abbqjds,221.35234863,78.2847055987
ZTF18abbpxik,230.70969862599998,8.08032202393
ZTF18abcflnz,281.559830062,35.968702609
ZTF18abcbwnd,299.259861271,61.8431342929
ZTF18abckutn,237.026899815,55.7148490338
ZTF18abckujg,222.973521648,46.645774207799995
ZTF18abckujq,181.669265073,59.5133675001
ZTF18abckxfb,267.340781835,19.7396977209
ZTF18abclfee,258.592542184,48.2643107209
ZTF18abcmsux,270.853127272,17.8754482361
ZTF18aawrmhl,296.3655182,44.4989668897
ZTF18abcdzyc,195.440533862,61.465409358900004
ZTF18abceitr,229.283279023,1.09963369895
ZTF18aazhwnh,233.014823445,23.517057823600002
ZTF18abcfcoo,244.00094347599997,22.268022671100002
ZTF18abcptmt,267.329900143,49.4124008322
ZTF18abcrtnq,198.892958548,28.342918381399997
ZTF18abcrxoj,239.259607302,37.4171156039
ZTF18abcsgvj,266.102651303,55.1754357962
ZTF18abcxyjp,214.57501213900002,28.9732885103
ZTF18abcpmwh,194.78800361400002,37.316716005500005
ZTF18abcxzce,157.19784232799998,39.82647344
ZTF18abcpolh,226.994151848,1.23240400748
ZTF18abcysdx,272.988901554,30.045401814899996
ZTF18abceakp,212.052000771,65.63777665890001
ZTF18abcryxz,181.14947645599997,12.556784591400001
ZTF18abcrzfz,192.86451557799998,20.6064387728
ZTF18abdbysy,233.53537259599997,56.6968491396
ZTF18aauebur,297.20464177,46.51001501060001
ZTF18abdbuty,253.197244131,51.563478949899995
ZTF18abcysck,285.997197029,32.543700419699995
ZTF18aaqdlxt,174.208782882,25.8478976108
ZTF18abdfazk,216.98008407,40.974354540300006
ZTF18abcyhju,188.84568699599998,29.492178400500002
ZTF18abdfaqi,223.493020922,26.0019573346
ZTF18abcyues,244.76177455599998,21.8070406456
ZTF18abdefet,266.07548444,68.0291317955
ZTF18abdfwcy,190.682746268,34.107332753499996
ZTF18abdgdhz,234.14965330000004,-10.0245528
ZTF18abdfwur,245.17982822599998,65.639111914
ZTF18abdcfgz,191.625798523,77.2809954372
ZTF18abdffeo,214.49519347900002,26.4123758798
ZTF18abcvpor,244.267255484,11.3611383528
ZTF18abalzzd,216.81281715,30.3653635037
ZTF18abddrhd,241.26734134,36.0940947273
ZTF18abdgwxn,261.42290043099996,23.869086257
ZTF18abclhtl,218.774853926,73.3596709441
ZTF18abdiwpt,213.07609694099997,62.6429998464
ZTF18abdfydj,255.59406749099998,57.751432594799994
ZTF18abdkkwa,267.022171937,52.2237289316
ZTF18abcvush,256.683487253,18.357033223
ZTF18abdhsfc,257.918295776,79.64372339239999
ZTF18abdiqdh,184.683486818,44.78196465439999
ZTF18aamgcbt,212.77464509400002,41.1557876083
ZTF18abdjmfh,243.786689385,26.560066083699997
ZTF18abecbks,248.94390487299998,71.6875354961
ZTF18abeaytd,324.61019617200003,28.772707858
ZTF18abdkiaq,196.862429789,18.7786378261
ZTF18abeamgv,255.074004668,38.3920553173
ZTF18abeajml,252.032363008,24.304092995999998
ZTF18abebzog,308.077600206,58.1984153078
ZTF18abdmlya,209.660291973,7.21700751001
ZTF18abeaipj,260.037276353,9.49229599099
ZTF18abdrmin,222.02346050900002,63.216698077299995
ZTF18abeecwe,268.210664759,21.3826544425
ZTF18abeyqpr,266.055194293,66.71290944729999
ZTF18abffuqh,166.354736933,44.9984231695
ZTF18abdrbqp,201.404722205,36.384416849299996
ZTF18abfgygp,274.339449738,54.537439221199996
ZTF18abfhaji,263.809272697,54.2469130255
ZTF18abffyqp,252.70868644,45.3978932921
ZTF18abetehf,233.487126359,31.169808592
ZTF18abetewu,217.30902639599998,46.0508513771
ZTF18abfhryc,284.989810306,72.2673031911
ZTF18abdkimx,247.79583611400002,60.5977287219
ZTF18aaqkdwf,199.360061112,44.947412795299996
ZTF18aansqun,251.292049728,42.7178739056
ZTF18aavtklk,247.033829048,63.8236685784
ZTF18abfwuwn,251.42824090599998,37.8904256389
ZTF18abdpvnd,348.522601215,29.633385273400002
ZTF18abfzfcv,239.107676815,46.8992502415
ZTF18abfzhct,254.723376833,45.2888743437
ZTF18abetejo,208.643935327,42.7745858559
ZTF18abespgb,216.80329152,16.862695583
ZTF18abgkkri,165.945249244,58.9024081624
ZTF18abgladq,239.70684718,14.9699844896
ZTF18abesqnb,224.80146678900002,71.3758229376
ZTF18abgmcmv,274.054506732,55.5908768376
ZTF18abgledy,236.423433432,11.9527484973
ZTF18abfgkgn,234.762839421,10.861940023599999
ZTF18abcyilc,184.04847333400002,68.5584080409
ZTF18aaixulp,261.847711864,31.9615162586
ZTF17aaburzk,328.436175693,12.590004080999998
ZTF18abeegsl,284.317976081,46.499092599799994
ZTF18abgrbjb,274.998589365,51.7964953835
ZTF18aajfspz,179.927920977,29.786377747
ZTF18abhehkn,270.266339872,19.5876915345
ZTF18abgosbg,287.168956855,78.4777097312
ZTF18abgqkpc,217.541015757,55.886367597799996
ZTF18abhhnnv,252.48759764099998,27.640769829499998
ZTF18abgxvra,266.18456585,38.1640638853
ZTF18aawurud,280.730126365,50.6593499076
ZTF18abhqaxd,348.514312265,52.371270994700005
ZTF18aailmnv,214.202076246,58.485406182
ZTF18abhpzig,307.148192995,25.7356524908
ZTF18abimsyv,274.799058885,54.088696175200006
ZTF18abguhwj,173.810067273,45.0393140451
ZTF18abixkjh,232.58845605599998,27.6295082669
ZTF18abilofa,338.785010565,17.3890667248
ZTF18abccqmd,312.082490987,15.2376028424
ZTF18abiiqdl,212.93844565400002,71.7527371536
ZTF18abimhfu,240.14225891799998,31.642950609099998
ZTF18abiinnl,330.173768588,19.666127467
ZTF18abhxidv,275.770770236,27.471088840700002
ZTF18abgxyfz,288.87286464,31.664436013400003
ZTF18abgzkmf,325.88723075,43.5495016909
ZTF18abiirfq,185.653398797,47.969261510200006
ZTF18abjhbss,307.032699485,22.3902041456
ZTF18abjgyyr,309.91644641,13.135746740899998
ZTF18abjrdzt,307.12613613900004,51.0371581729
ZTF18abiyatb,294.940713703,0.881563458734
ZTF18abjtger,234.221358115,66.0581517274
ZTF18abjkryl,275.788599352,21.2490119416
ZTF18abjvhec,226.376832165,30.910247667199997
ZTF18abjtgdo,226.098380292,61.621457425
ZTF18abixkdo,243.95209138799999,19.6570377859
ZTF18abfzixe,240.491408968,29.414911265900002
ZTF18abjdjge,224.69367209400002,44.6706959301
ZTF18aartjmf,231.74491331299998,8.26156725768
ZTF18abjyjdz,238.044374037,13.0226992271
ZTF18abjvzxx,240.272630755,11.9442198567
ZTF18abjqmqt,316.540063448,70.3523622576
ZTF18abhqdpv,339.33795019999997,22.3795863179
ZTF18abjrfqx,332.097450359,11.3792949257
ZTF18abkhcwl,236.529609698,29.7334804844
ZTF18abkhcrj,256.651338495,24.5453311287
ZTF18abkhqhk,311.297487985,8.75723468348
ZTF18abkifng,242.470100522,65.9384817085
ZTF18abjzaic,252.42789739,23.0828576264
ZTF18abjwahi,240.014889727,23.3806755817
ZTF18abkijlr,260.762762344,11.1474249332
ZTF18abjsdwi,266.300638945,14.9153483677
ZTF18abjrznx,221.290544747,9.273507282999999
ZTF18abkmbpy,256.30962934,56.2167003844
ZTF18abkhbra,221.376629575,17.2583159715
ZTF18abktmfz,336.10151899,18.0719274455
