diffflux_grid,g_chi_interp,r_chi_interp,i_chi_interp
-270852.65261431073,6.60466495,30.37645495,4.02009655
-268962.58910603164,6.60466495,30.37645495,4.02009655
-267085.71483563096,6.60466495,30.37645495,4.02009655
-265221.9377659919,6.60466495,30.37645495,4.02009655
-263371.166502251,6.60466495,30.37645495,4.02009655
-261533.31028731613,6.60466495,30.37645495,4.02009655
-259708.27899741576,6.60466495,30.37645495,4.02009655
-257895.9831376814,6.60466495,30.37645495,4.02009655
-256096.33383775598,6.60466495,30.37645495,4.02009655
-254309.24284743785,6.60466495,30.37645495,4.02009655
-252534.6225323528,6.60466495,30.37645495,4.02009655
-250772.3858696567,6.60466495,30.37645495,4.02009655
-249022.4464437675,6.60466495,30.37645495,4.02009655
-247284.71844212973,6.60466495,30.37645495,4.02009655
-245559.11665100354,6.60466495,30.37645495,4.02009655
-243845.55645128782,6.60466495,30.37645495,4.02009655
-242143.95381437038,6.60466495,30.37645495,4.02009655
-240454.2252980074,6.60466495,30.37645495,4.02009655
-238776.2880422315,6.60466495,30.37645495,4.02009655
-237110.0597652881,6.60466495,30.37645495,4.02009655
-235455.45875960254,6.60466495,30.37645495,4.02009655
-233812.40388777026,6.60466495,30.37645495,4.02009655
-232180.81457858018,6.60466495,30.37645495,4.02009655
-230560.610823063,6.60466495,30.37645495,4.02009655
-228951.71317056802,6.60466495,30.37645495,4.02009655
-227354.0427248663,6.60466495,30.37645495,4.02009655
-225767.52114028393,6.60466495,30.37645495,4.02009655
-224192.0706178572,6.60466495,30.37645495,4.02009655
-222627.6139015195,6.60466495,30.37645495,4.02009655
-221074.07427431236,6.60466495,30.37645495,4.02009655
-219531.37555462337,6.60466495,30.37645495,4.02009655
-217999.44209245022,6.60466495,30.37645495,4.02009655
-216478.1987656925,6.60466495,30.37645495,4.02009655
-214967.57097646553,6.60466495,30.37645495,4.02009655
-213467.48464744375,6.60466495,30.37645495,4.02009655
-211977.86621822795,6.60466495,30.37645495,4.02009655
-210498.64264173797,6.60466495,30.37645495,4.02009655
-209029.7413806306,6.60466495,30.37645495,4.02009655
-207571.0904037423,6.60466495,30.37645495,4.02009655
-206122.61818255836,6.60466495,30.37645495,4.02009655
-204684.25368770305,6.60466495,30.37645495,4.02009655
-203255.92638545818,6.60466495,30.37645495,4.02009655
-201837.56623430375,6.60466495,30.37645495,4.02009655
-200429.10368148336,6.60466495,30.37645495,4.02009655
-199030.46965959322,6.60466495,30.37645495,4.02009655
-197641.59558319673,6.60466495,30.37645495,4.02009655
-196262.4133454588,6.60466495,30.37645495,4.02009655
-194892.85531480788,6.60466495,30.37645495,4.02009655
-193532.8543316188,6.60466495,30.37645495,4.02009655
-192182.34370491962,6.60466495,30.37645495,4.02009655
-190841.25720912125,6.60466495,30.37645495,4.02009655
-189509.52908076948,6.60466495,30.37645495,4.02009655
-188187.09401532167,6.60466495,30.37645495,4.02009655
-186873.8871639421,6.60466495,30.37645495,4.02009655
-185569.8441303234,6.60466495,30.37645495,4.02009655
-184274.90096752852,6.60466495,30.37645495,4.02009655
-182988.99417485468,6.60466495,30.37645495,4.02009655
-181712.06069471932,6.60466495,30.37645495,4.02009655
-180444.03790956925,6.60466495,30.37645495,4.02009655
-179184.86363880787,6.60466495,30.37645495,4.02009655
-177934.47613574754,6.60466495,30.37645495,4.02009655
-176692.8140845812,6.60466495,30.37645495,4.02009655
